device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
BEND:IN20:451, BACT, BXH1B, 0.8822998549458233, B_FIELD , 0 
BEND:IN20:461, BACT, BXH2B, 0.8822998549458233, B_FIELD , 0 
BEND:IN20:475, BACT, BXH3B, 0.8822998549458233, B_FIELD , 0 
BEND:IN20:481, BACT, BXH4B, 0.8822998549458233, B_FIELD , 0 
BEND:IN20:661, BACT, BX01B, P*-3.437931996213278e-11 - 0.6742365, CALC_FOR_B_FIELD_ERR , 0 
BEND:IN20:751, BACT, BX02B, P*-3.437931996213278e-11 - 0.6742365, CALC_FOR_B_FIELD_ERR , 0 
BEND:LI21:215, BACT, BX11B, 0.5406249111187643, B_FIELD , 0 
BEND:LI21:231, BACT, BX12B, 0.5406249111187643, B_FIELD , 0 
BEND:LI21:241, BACT, BX13B, 0.5406249111187643, B_FIELD , 0 
BEND:LI21:261, BACT, BX14B, 0.5406249111187643, B_FIELD , 0 
BEND:LI24:720, BACT, BX21B, 0.2005226943058689, B_FIELD , 0 
BEND:LI24:790, BACT, BX22B, 0.2005226943058689, B_FIELD , 0 
BEND:LI24:810, BACT, BX23B, 0.2005226943058689, B_FIELD , 0 
BEND:LI24:880, BACT, BX24B, 0.2005226943058689, B_FIELD , 0 
BEND:LTU0:125, BACT, BY1B, P*-5.229015770191091e-14 - 0.1047179, CALC_FOR_B_FIELD_ERR , 0 
BEND:LTU0:175, BACT, BY2B, P*-5.229015770191091e-14 - 0.1047179, CALC_FOR_B_FIELD_ERR , 0 
BEND:LTU1:220, BACT, BX31B, P*7.639111314775905e-14 - -0.1529832, CALC_FOR_B_FIELD_ERR , 0 
BEND:LTU1:280, BACT, BX32B, P*7.639111314775905e-14 - -0.1529832, CALC_FOR_B_FIELD_ERR , 0 
BEND:LTU1:420, BACT, BX35B, P*-7.639111314775905e-14 - 0.1529832, CALC_FOR_B_FIELD_ERR , 0 
BEND:LTU1:480, BACT, BX36B, P*-7.639111314775905e-14 - 0.1529832, CALC_FOR_B_FIELD_ERR , 0 
BEND:LTU1:866, BACT, BCXXL1B, 0.3029875875500767, B_FIELD , 0 
BEND:LTU1:868, BACT, BCXXL2B, 0.3029875875500767, B_FIELD , 0 
BEND:LTU1:870, BACT, BCXXL3B, 0.3029875875500767, B_FIELD , 0 
BEND:LTU1:872, BACT, BCXXL4B, 0.3029875875500767, B_FIELD , 0 
BEND:UND1:930, BACT, BXSS1B, 0.3029875875500767, B_FIELD , 0 
BEND:UND1:940, BACT, BXSS2B, 0.3029875875500767, B_FIELD , 0 
BEND:UND1:960, BACT, BXSS3B, 0.3029875875500767, B_FIELD , 0 
BEND:UND1:970, BACT, BXSS4B, 0.3029875875500767, B_FIELD , 0 
BEND:UND1:1630, BACT, BXHS1B, 0.3029875875500767, B_FIELD , 0 
BEND:UND1:1640, BACT, BXHS2B, 0.3029875875500767, B_FIELD , 0 
BEND:UND1:1660, BACT, BXHS3B, 0.3029875875500767, B_FIELD , 0 
BEND:UND1:1670, BACT, BXHS4B, 0.3029875875500767, B_FIELD , 0 
BEND:DMP1:400, BACT, BYD1B, P*4.59980462169531e-13 - -0.921171, CALC_FOR_B_FIELD_ERR , 0 
BEND:DMP1:410, BACT, BYD2B, P*4.59980462169531e-13 - -0.921171, CALC_FOR_B_FIELD_ERR , 0 
BEND:DMP1:420, BACT, BYD3B, P*4.59980462169531e-13 - -0.921171, CALC_FOR_B_FIELD_ERR , 0 
