device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
BPMS:IN20:221,X1H,mm,BPM2,1/1000,x,0
BPMS:IN20:221,Y1H,mm,BPM2,1/1000,y,0
BPMS:IN20:235,X1H,mm,BPM3,1/1000,x,0
BPMS:IN20:235,Y1H,mm,BPM3,1/1000,y,0
BPMS:IN20:371,X1H,mm,BPM5,1/1000,x,0
BPMS:IN20:371,Y1H,mm,BPM5,1/1000,y,0
BPMS:IN20:425,X1H,mm,BPM6,1/1000,x,0
BPMS:IN20:425,Y1H,mm,BPM6,1/1000,y,0
BPMS:IN20:511,X1H,mm,BPM8,1/1000,x,0
BPMS:IN20:511,Y1H,mm,BPM8,1/1000,y,0
BPMS:IN20:525,X1H,mm,BPM9,1/1000,x,0
BPMS:IN20:525,Y1H,mm,BPM9,1/1000,y,0
BPMS:IN20:581,X1H,mm,BPM10,1/1000,x,0
BPMS:IN20:581,Y1H,mm,BPM10,1/1000,y,0
BPMS:IN20:631,X1H,mm,BPM11,1/1000,x,0
BPMS:IN20:631,Y1H,mm,BPM11,1/1000,y,0
BPMS:IN20:651,X1H,mm,BPM12,1/1000,x,0
BPMS:IN20:651,Y1H,mm,BPM12,1/1000,y,0
BPMS:IN20:731,X1H,mm,BPM13,1/1000,x,0
BPMS:IN20:731,Y1H,mm,BPM13,1/1000,y,0
BPMS:IN20:771,X1H,mm,BPM14,1/1000,x,0
BPMS:IN20:771,Y1H,mm,BPM14,1/1000,y,0
BPMS:IN20:781,X1H,mm,BPM15,1/1000,x,0
BPMS:IN20:781,Y1H,mm,BPM15,1/1000,y,0
BPMS:LI21:131,X1H,mm,BPMA11,1/1000,x,0
BPMS:LI21:131,Y1H,mm,BPMA11,1/1000,y,0
BPMS:LI21:161,X1H,mm,BPMA12,1/1000,x,0
BPMS:LI21:161,Y1H,mm,BPMA12,1/1000,y,0
BPMS:LI21:201,X1H,mm,BPM21201,1/1000,x,0
BPMS:LI21:201,Y1H,mm,BPM21201,1/1000,y,0
BPMS:LI21:233,X1H,mm,BPMS11,1/1000,x,0
BPMS:LI21:233,Y1H,mm,BPMS11,1/1000,y,0
BPMS:LI21:278,X1H,mm,BPMM12,1/1000,x,0
BPMS:LI21:278,Y1H,mm,BPMM12,1/1000,y,0
BPMS:LI21:301,X1H,mm,BPM21301,1/1000,x,0
BPMS:LI21:301,Y1H,mm,BPM21301,1/1000,y,0
BPMS:LI21:315,X1H,mm,BPMM14,1/1000,x,0
BPMS:LI21:315,Y1H,mm,BPMM14,1/1000,y,0
BPMS:LI21:401,X1H,mm,BPM21401,1/1000,x,0
BPMS:LI21:401,Y1H,mm,BPM21401,1/1000,y,0
BPMS:LI21:501,X1H,mm,BPM21501,1/1000,x,0
BPMS:LI21:501,Y1H,mm,BPM21501,1/1000,y,0
BPMS:LI21:601,X1H,mm,BPM21601,1/1000,x,0
BPMS:LI21:601,Y1H,mm,BPM21601,1/1000,y,0
BPMS:LI21:701,X1H,mm,BPM21701,1/1000,x,0
BPMS:LI21:701,Y1H,mm,BPM21701,1/1000,y,0
BPMS:LI21:801,X1H,mm,BPM21801,1/1000,x,0
BPMS:LI21:801,Y1H,mm,BPM21801,1/1000,y,0
BPMS:LI21:901,X1H,mm,BPM21901,1/1000,x,0
BPMS:LI21:901,Y1H,mm,BPM21901,1/1000,y,0
BPMS:LI22:201,X1H,mm,BPM22201,1/1000,x,0
BPMS:LI22:201,Y1H,mm,BPM22201,1/1000,y,0
BPMS:LI22:301,X1H,mm,BPM22301,1/1000,x,0
BPMS:LI22:301,Y1H,mm,BPM22301,1/1000,y,0
BPMS:LI22:401,X1H,mm,BPM22401,1/1000,x,0
BPMS:LI22:401,Y1H,mm,BPM22401,1/1000,y,0
BPMS:LI22:501,X1H,mm,BPM22501,1/1000,x,0
BPMS:LI22:501,Y1H,mm,BPM22501,1/1000,y,0
BPMS:LI22:601,X1H,mm,BPM22601,1/1000,x,0
BPMS:LI22:601,Y1H,mm,BPM22601,1/1000,y,0
BPMS:LI22:701,X1H,mm,BPM22701,1/1000,x,0
BPMS:LI22:701,Y1H,mm,BPM22701,1/1000,y,0
BPMS:LI22:801,X1H,mm,BPM22801,1/1000,x,0
BPMS:LI22:801,Y1H,mm,BPM22801,1/1000,y,0
BPMS:LI22:901,X1H,mm,BPM22901,1/1000,x,0
BPMS:LI22:901,Y1H,mm,BPM22901,1/1000,y,0
