device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
QUAD:IN20:121,BDES,kG,CQ01,0,b1_gradient,0
QUAD:IN20:122,BDES,kG,SQ01,0,b1_gradient,0
QUAD:IN20:361,BDES,kG,QA01,-0.925925926,b1_gradient,0
QUAD:IN20:371,BDES,kG,QA02,-0.925925926,b1_gradient,0
QUAD:IN20:425,BDES,kG,QE01,-0.925925926,b1_gradient,0
QUAD:IN20:441,BDES,kG,QE02,-0.925925926,b1_gradient,0
QUAD:IN20:511,BDES,kG,QE03,-0.925925926,b1_gradient,0
QUAD:IN20:525,BDES,kG,QE04,-0.925925926,b1_gradient,0
QUAD:IN20:631,BDES,kG,QM01,-0.925925926,b1_gradient,0
QUAD:IN20:651,BDES,kG,QM02,-0.925925926,b1_gradient,0
QUAD:IN20:731,BDES,kG,QB,-0.943396226,b1_gradient,0
QUAD:IN20:771,BDES,kG,QM03,-0.925925926,b1_gradient,0
QUAD:IN20:781,BDES,kG,QM04,-0.925925926,b1_gradient,0
QUAD:LI21:131,BDES,kG,QA11,-0.925925926,b1_gradient,0
QUAD:LI21:161,BDES,kG,QA12,-0.925925926,b1_gradient,0
QUAD:LI21:201,BDES,kG,Q21201,-0.943396226,b1_gradient,0
QUAD:LI21:211,BDES,kG,QM11,-0.925925926,b1_gradient,0
QUAD:LI21:221,BDES,kG,CQ11,-0.925925926,b1_gradient,0
QUAD:LI21:243,BDES,kG,SQ13,-0.625,b1_gradient,0
QUAD:LI21:251,BDES,kG,CQ12,-0.925925926,b1_gradient,0
QUAD:LI21:271,BDES,kG,QM12,-0.925925926,b1_gradient,0
QUAD:LI21:278,BDES,kG,QM13,-0.925925926,b1_gradient,0
QUAD:LI21:301,BDES,kG,Q21301,-0.943396226,b1_gradient,0
QUAD:LI21:315,BDES,kG,QM14,-0.925925926,b1_gradient,0
QUAD:LI21:335,BDES,kG,QM15,-0.925925926,b1_gradient,0
QUAD:LI21:401,BDES,kG,Q21401,-0.943396226,b1_gradient,0
QUAD:LI21:501,BDES,kG,Q21501,-0.943396226,b1_gradient,0
QUAD:LI21:601,BDES,kG,Q21601,-0.943396226,b1_gradient,0
QUAD:LI21:701,BDES,kG,Q21701,-0.943396226,b1_gradient,0
QUAD:LI21:801,BDES,kG,Q21801,-0.943396226,b1_gradient,0
QUAD:LI21:901,BDES,kG,Q21901,-0.943396226,b1_gradient,0
QUAD:LI22:201,BDES,kG,Q22201,-0.943396226,b1_gradient,0
QUAD:LI22:301,BDES,kG,Q22301,-0.943396226,b1_gradient,0
QUAD:LI22:401,BDES,kG,Q22401,-0.943396226,b1_gradient,0
QUAD:LI22:501,BDES,kG,Q22501,-0.943396226,b1_gradient,0
QUAD:LI22:601,BDES,kG,Q22601,-0.943396226,b1_gradient,0
QUAD:LI22:701,BDES,kG,Q22701,-0.943396226,b1_gradient,0
QUAD:LI22:801,BDES,kG,Q22801,-0.943396226,b1_gradient,0
QUAD:LI22:901,BDES,kG,Q22901,-0.943396226,b1_gradient,0
QUAD:LI23:201,BDES,kG,Q23201,-0.943396226,b1_gradient,0
QUAD:LI23:301,BDES,kG,Q23301,-0.943396226,b1_gradient,0
QUAD:LI23:401,BDES,kG,Q23401,-0.943396226,b1_gradient,0
QUAD:LI23:501,BDES,kG,Q23501,-0.943396226,b1_gradient,0
QUAD:LI23:601,BDES,kG,Q23601,-0.943396226,b1_gradient,0
QUAD:LI23:701,BDES,kG,Q23701,-0.943396226,b1_gradient,0
QUAD:LI23:801,BDES,kG,Q23801,-0.943396226,b1_gradient,0
QUAD:LI23:901,BDES,kG,Q23901,-0.943396226,b1_gradient,0
QUAD:LI24:201,BDES,kG,Q24201,-0.943396226,b1_gradient,0
QUAD:LI24:301,BDES,kG,Q24301,-0.943396226,b1_gradient,0
QUAD:LI24:401,BDES,kG,Q24401,-0.943396226,b1_gradient,0
QUAD:LI24:501,BDES,kG,Q24501,-0.943396226,b1_gradient,0
QUAD:LI24:601,BDES,kG,Q24601,-0.943396226,b1_gradient,0
QUAD:LI24:701,BDES,kG,Q24701A,-0.943396226,b1_gradient,0
QUAD:LI24:702,BDES,kG,Q24701B,-0.943396226,b1_gradient,0
QUAD:LI24:713,BDES,kG,QM21,-0.217391304,b1_gradient,0
QUAD:LI24:740,BDES,kG,CQ21,-0.925925926,b1_gradient,0
QUAD:LI24:860,BDES,kG,CQ22,-0.925925926,b1_gradient,0
QUAD:LI24:892,BDES,kG,QM22,-0.217391304,b1_gradient,0
QUAD:LI24:901,BDES,kG,Q24901A,-0.943396226,b1_gradient,0
