Element,Type,device_name,Engineering Name,Symbols Upload Id,First Sourced From,Active,Beamline,Sector,Area,Keyword,SumL (m),SumL (ft),Linac Z (m),Linac Z (ft),Sections,Bsa Device,Obstruction,Effective Length (m),Rf Frequency (MHz),Rf Amplitude (MeV),Rf Phase (deg),Rf Gradient (MeV/m),Rf Power Fraction,Integrated Field BL (kG-m),Field B (T),Integrated Field Grad GL (kG),Field Gradient G (T/m),Xal Scale Name,Xal Scale Value,Xal Polarity,Solid Edge Ycoor M,Solid Edge Zcoor M,Solid Edge X Angle,Solid Edge Y Angle,Solid Edge Z Angle,Solenoid Strength KS (1/m),Section,Dist From Section Start (m),Xal Keyword,S Display,Ioc Captar Search,Slc Captar Search
SOL1BKB,MAD,SOLN:GUNB:100,BUCKING COIL,589,SYMBOLS,A,LCLS2scS,S00,GUNB,SOLE,-0.07170499999999999,-0.23525300000000002,-10.116372,-33.190197,- NO SECTION -,N,N,0.0,,,,,,0.0,0.0,,,KG2T,0.1,-1.0,0.28,-0.99,0,0,0,0.0,CATHODE TO DIAG0,-0.07170499999999999,SOLE,-10.116372,SOLN:GUNB%25,SOLN:%25
CATHODEB,MAD,CATH:GUNB:100,,589,SYMBOLS,A,LCLS2scS,S00,GUNB,INST,0.0,0.0,-10.044667,-32.954944,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.0,INST,-10.044667,CATH:GUNB%25,CATH:%25
CQ01B,MAD,QUAD:GUNB:212:1,SOLENOID TRIM,589,SYMBOLS,A,LCLS2scS,S00,GUNB,QUAD,0.255994,0.839875,-9.788673,-32.115069,- NO SECTION -,N,N,0.0,,,,,,,,0.0,0.0,KG2T,0.1,-1.0,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.255994,QUAD,-9.788673,QUAD:GUNB%25,QUAD:%25
SOL1B,MAD,SOLN:GUNB:212,LBNL,589,SYMBOLS,A,LCLS2scS,S00,GUNB,SOLE,0.255994,0.839875,-9.788673,-32.115069,- NO SECTION -,N,N,0.17412,,,,,,0.0,0.0,,,KG2T_BDL2B,0.5743165632899999,-1.0,0.28,-0.99,0,0,0,0.0,CATHODE TO DIAG0,0.255994,SOLE,-9.788673,SOLN:GUNB%25,SOLN:%25
SQ01B,MAD,QUAD:GUNB:212:2,SOLENOID TRIM,589,SYMBOLS,A,LCLS2scS,S00,GUNB,QUAD,0.255994,0.839875,-9.788673,-32.115069,- NO SECTION -,N,N,0.0,,,,,,,,0.0,0.0,KG2T,0.1,-1.0,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.255994,QUAD,-9.788673,QUAD:GUNB%25,QUAD:%25
VV01B,MAD,,,589,SYMBOLS,A,LCLS2scS,S00,GUNB,INST,0.38748,1.27126,-9.657187,-31.683684000000003,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.38748,INST,-9.657187,%25,%25
XC01B,MAD,XCOR:GUNB:293,LBNL-XY,589,SYMBOLS,A,LCLS2scS,S00,GUNB,XCOR,0.485804,1.5938450000000002,-9.558863,-31.361099,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.485804,XCOR,-9.558863,XCOR:GUNB%25,XCOR:%25
YC01B,MAD,YCOR:GUNB:293,LBNL-XY,589,SYMBOLS,A,LCLS2scS,S00,GUNB,YCOR,0.485804,1.5938450000000002,-9.558863,-31.361099,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.485804,YCOR,-9.558863,YCOR:GUNB%25,YCOR:%25
BPM1B,MAD,BPMS:GUNB:314,STRIPLINE-4,589,SYMBOLS,A,LCLS2scS,S00,GUNB,BPM,0.48940900000000004,1.605673,-9.555258,-31.349271999999996,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.48940900000000004,BPM,-9.555258,BPMS:GUNB%25,BPMS:%25
IM01B,MAD,TORO:GUNB:360,ICT,589,SYMBOLS,A,LCLS2scS,S00,GUNB,IMON,0.594692,1.9510889999999999,-9.449975,-31.003854999999998,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.594692,TORO,-9.449975,TORO:GUNB%25,TORO:%25
XC02B,MAD,XCOR:GUNB:388,LBNL-XY,589,SYMBOLS,A,LCLS2scS,S00,GUNB,XCOR,0.673744,2.210446,-9.370923,-30.744497999999997,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.673744,XCOR,-9.370923,XCOR:GUNB%25,XCOR:%25
YC02B,MAD,YCOR:GUNB:388,LBNL-XY,589,SYMBOLS,A,LCLS2scS,S00,GUNB,YCOR,0.673744,2.210446,-9.370923,-30.744497999999997,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.673744,YCOR,-9.370923,YCOR:GUNB%25,YCOR:%25
BUN1B,MAD,ACCL:GUNB:455,LBNL,589,SYMBOLS,A,LCLS2scS,S00,GUNB,LCAV,0.80988,2.6570869999999998,-9.234786999999999,-30.297858,- NO SECTION -,N,N,0.21875999999999998,1300.0,0.0,0.0,0.0,1.0,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.80988,BNCH,-9.234786999999999,ACCL:GUNB%25,ACCL:%25
XC03B,MAD,XCOR:GUNB:513,LBNL-XY,589,SYMBOLS,A,LCLS2scS,S00,GUNB,XCOR,0.9651709999999999,3.166572,-9.079496,-29.788372999999996,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.9651709999999999,XCOR,-9.079496,XCOR:GUNB%25,XCOR:%25
YC03B,MAD,YCOR:GUNB:513,LBNL-XY,589,SYMBOLS,A,LCLS2scS,S00,GUNB,YCOR,0.9651709999999999,3.166572,-9.079496,-29.788372999999996,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,0.9651709999999999,YCOR,-9.079496,YCOR:GUNB%25,YCOR:%25
XC04B,MAD,XCOR:GUNB:713,LBNL-XY,589,SYMBOLS,A,LCLS2scS,S00,GUNB,XCOR,1.368809,4.490843,-8.675858,-28.464101,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,1.368809,XCOR,-8.675858,XCOR:GUNB%25,XCOR:%25
YC04B,MAD,YCOR:GUNB:713,LBNL-XY,589,SYMBOLS,A,LCLS2scS,S00,GUNB,YCOR,1.368809,4.490843,-8.675858,-28.464101,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,1.368809,YCOR,-8.675858,YCOR:GUNB%25,YCOR:%25
YAG01B,MAD,YAGS:GUNB:753,YAG INJ,589,SYMBOLS,A,LCLS2scS,S00,GUNB,PROF,1.4921209999999998,4.89541,-8.552546000000001,-28.059534000000003,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,1.4921209999999998,PROF,-8.552546000000001,YAGS:GUNB%25,YAGS:%25
CQ02B,MAD,QUAD:GUNB:823:1,SOLENOID TRIM,589,SYMBOLS,A,LCLS2scS,S00,GUNB,QUAD,1.651288,5.417612,-8.393379,-27.537333,- NO SECTION -,N,N,0.0,,,,,,,,0.0,0.0,KG2T,0.1,-1.0,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,1.651288,QUAD,-8.393379,QUAD:GUNB%25,QUAD:%25
SOL2B,MAD,SOLN:GUNB:823,LBNL,589,SYMBOLS,A,LCLS2scS,S00,GUNB,SOLE,1.651288,5.417612,-8.393379,-27.537333,- NO SECTION -,N,N,0.17412,,,,,,0.0,0.0,,,KG2T_BDL2B,0.5743165632899999,-1.0,0.28,-0.99,0,0,0,0.0,CATHODE TO DIAG0,1.651288,SOLE,-8.393379,SOLN:GUNB%25,SOLN:%25
SQ02B,MAD,QUAD:GUNB:823:2,SOLENOID TRIM,589,SYMBOLS,A,LCLS2scS,S00,GUNB,QUAD,1.651288,5.417612,-8.393379,-27.537333,- NO SECTION -,N,N,0.0,,,,,,,,0.0,0.0,KG2T,0.1,-1.0,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,1.651288,QUAD,-8.393379,QUAD:GUNB%25,QUAD:%25
VV02B,MAD,,,589,SYMBOLS,A,LCLS2scS,S00,GUNB,INST,1.78278,5.849016000000001,-8.261887,-27.105928000000002,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,1.78278,INST,-8.261887,%25,%25
BPM2B,MAD,BPMS:GUNB:925,STRIPLINE-4,589,SYMBOLS,A,LCLS2scS,S00,GUNB,BPM,1.884138,6.181555,-8.160528999999999,-26.773389,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,1.884138,BPM,-8.160528999999999,BPMS:GUNB%25,BPMS:%25
XC05B,MAD,XCOR:GUNB:927,LBNL-XY,589,SYMBOLS,A,LCLS2scS,S00,GUNB,XCOR,1.888757,6.196708999999999,-8.15591,-26.758235,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,1.888757,XCOR,-8.15591,XCOR:GUNB%25,XCOR:%25
YC05B,MAD,YCOR:GUNB:927,LBNL-XY,589,SYMBOLS,A,LCLS2scS,S00,GUNB,YCOR,1.888757,6.196708999999999,-8.15591,-26.758235,- NO SECTION -,N,N,0.0,,,,,,,,,,,,,0.28,-0.99,0,0,0,,CATHODE TO DIAG0,1.888757,YCOR,-8.15591,YCOR:GUNB%25,YCOR:%25
