"Element","Area","Type","Control System Name","Sector","Sector Location","Keyword","SumL (m)","Linac Z (m)","Beampath"
"CATHODE","GUN","MAD","CATH:IN20:111","S20","VAULT","INST",".000000001","2017.911482","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"SOL1BK","GUN","MAD","SOLN:IN20:111","S20","VAULT","SOLE",".0000000005","2017.911482","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"CQ01","GUN","MAD","QUAD:IN20:121","S20","VAULT","QUAD",".1960100015","2018.072044","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"SQ01","GUN","MAD","QUAD:IN20:122","S20","VAULT","QUAD",".1960100025","2018.072044","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"XC00","GUN","MAD","XCOR:IN20:121","S20","VAULT","XCOR",".196010002","2018.072044","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YC00","GUN","MAD","YCOR:IN20:122","S20","VAULT","YCOR",".196010002","2018.072044","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"SOL1","GUN","MAD","SOLN:IN20:121","S20","VAULT","SOLE",".196010002","2018.072045","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"AM00","GUN","MAD","MIRR:IN20:181","S20","VAULT","INST",".490610003","2018.313367","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"AM01","GUN","MAD","MIRR:IN20:191","S20","VAULT","INST",".595220003","2018.399058","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YAG01","GUN","MAD","YAGS:IN20:211","S20","VAULT","PROF",".613620003","2018.414131","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"FC01","GUN","MAD","FARC:IN20:212","S20","VAULT","INST",".624590003","2018.423117","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"IM01","GUN","MAD","TORO:IN20:215","S20","VAULT","IMON",".707090003","2018.490697","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"XC01","GUN","MAD","XCOR:IN20:221","S20","VAULT","XCOR",".834385003","2018.594971","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YC01","GUN","MAD","YCOR:IN20:222","S20","VAULT","YCOR",".834385003","2018.594971","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BPM2","GUN","MAD","BPMS:IN20:221","S20","VAULT","BPM",".892573603","2018.642636","CU_ALINE, CU_GSPEC, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BPM3","L0","MAD","BPMS:IN20:235","S20","VAULT","BPM","1.216660004","2018.908112","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"CR01","L0","MAD","CRAD:IN20:237","S20","VAULT","INST","1.359040004","2019.024743","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YAG02","L0","MAD","YAGS:IN20:241","S20","VAULT","PROF","1.388410004","2019.048801","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"SOL2","L0","MAD","SOLN:IN20:311","S20","VAULT","SOLE","1.7170000045","2019.317967","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"XC02","L0","MAD","XCOR:IN20:311","S20","VAULT","XCOR","2.366319805","2019.849858","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YC02","L0","MAD","YCOR:IN20:312","S20","VAULT","YCOR","2.366319805","2019.849858","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"L0A___","L0","MAD","ACCL:IN20:300","S20","VAULT","LCAV","3.0066220045","2020.374363","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"XC03","L0","MAD","XCOR:IN20:341","S20","VAULT","XCOR","4.158468405","2021.3179","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YC03","L0","MAD","YCOR:IN20:342","S20","VAULT","YCOR","4.158468405","2021.3179","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YAG03","L0","MAD","YAGS:IN20:351","S20","VAULT","PROF","4.614538605","2021.691491","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"QA01","L0","MAD","QUAD:IN20:361","S20","VAULT","QUAD","4.854933605","2021.888411","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"PH01","L0","MAD","PCAV:IN20:365","S20","VAULT","INST","5.003417605","2022.010042","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BPM5","L0","MAD","BPMS:IN20:371","S20","VAULT","BPM","5.183309605","2022.157401","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"QA02","L0","MAD","QUAD:IN20:371","S20","VAULT","QUAD","5.183309605","2022.157401","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"XC04","L0","MAD","XCOR:IN20:381","S20","VAULT","XCOR","5.698971705","2022.579807","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YC04","L0","MAD","YCOR:IN20:382","S20","VAULT","YCOR","5.698971705","2022.579807","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"L0B___","L0","MAD","ACCL:IN20:400","S20","VAULT","LCAV","6.850819605","2023.523346","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"XC05","L0","MAD","XCOR:IN20:411","S20","VAULT","XCOR","8.002382605","2024.466651","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"YC05","L0","MAD","YCOR:IN20:412","S20","VAULT","YCOR","8.002382605","2024.466651","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BPM6","DL1","MAD","BPMS:IN20:425","S20","VAULT","BPM","8.494048605","2024.8694","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"QE01","DL1","MAD","QUAD:IN20:425","S20","VAULT","QUAD","8.494048605","2024.8694","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"IM02","DL1","MAD","TORO:IN20:431","S20","VAULT","IMON","8.624421605","2024.976195","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"QE02","DL1","MAD","QUAD:IN20:441","S20","VAULT","QUAD","8.895561605","2025.1983","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BXH1","DL1","MAD","BEND:IN20:451","S20","VAULT","BEND","9.139136795","2025.39896","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BXH2","DL1","MAD","BEND:IN20:461","S20","VAULT","BEND","9.405994476","2025.633776","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"OTRH1","DL1","MAD","OTRS:IN20:465","S20","VAULT","PROF","9.528209416","2025.735024","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"HTRUND","DL1","MAD","HTR:IN20:467","S20","VAULT","INST","9.874249166","2026.018483","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"LH_UND","DL1","MAD","USEG:IN20:466","S20","VAULT","USEG","9.874249166","2026.018483","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"OTRH2","DL1","MAD","OTRS:IN20:471","S20","VAULT","PROF","10.21139897","2026.29466","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BXH3","DL1","MAD","BEND:IN20:475","S20","VAULT","BEND","10.36147391","2026.416386","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
"BXH4","DL1","MAD","BEND:IN20:481","S20","VAULT","BEND","10.62833159","2026.615721","CU_ALINE, CU_HXR, CU_HXTES, CU_SFTH, CU_SPEC, CU_SXR, "
