device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
QUAD:LI21:211,BDES,kG,QM11,-1/(10.0*0.108),b1_gradient,0
QUAD:LI21:221,BDES,kG,CQ11,-1/(10.0*0.108),b1_gradient,0
QUAD:LI21:243,BDES,kG,SQ13,-1/(10.0*0.160),b1_gradient,0
QUAD:LI21:251,BDES,kG,CQ12,-1/(10.0*0.108),b1_gradient,0
QUAD:LI21:271,BDES,kG,QM12,-1/(10.0*0.108),b1_gradient,0
QUAD:LI21:335,BDES,kG,QM15,-1/(10.0*0.108),b1_gradient,0
QUAD:LI24:713,BDES,kG,QM21,-1/(10.0*0.461),b1_gradient,0
QUAD:LI24:740,BDES,kG,CQ21,-1/(10.0*0.108),b1_gradient,0
QUAD:LI24:860,BDES,kG,CQ22,-1/(10.0*0.108),b1_gradient,0
QUAD:LI24:892,BDES,kG,QM22,-1/(10.0*0.461),b1_gradient,0
QUAD:LI24:902,BDES,kG,Q24901B,-1/(10.0*0.107),b1_gradient,0
QUAD:CLTH:140,BDES,kG,Q50Q1,-1/(10.0*0.263),b1_gradient,0
QUAD:CLTH:170,BDES,kG,Q50Q2,-1/(10.0*0.324),b1_gradient,0
QUAD:BSYH:445,BDES,kG,Q50Q3,-1/(10.0*0.287),b1_gradient,0
QUAD:LTUH:285,BDES,kG,QT11,-1/(10.0*0.461),b1_gradient,0
QUAD:LTUH:295,BDES,kG,QT13,-1/(10.0*0.461),b1_gradient,0
QUAD:LTUH:385,BDES,kG,QT21,-1/(10.0*0.461),b1_gradient,0
QUAD:LTUH:395,BDES,kG,QT23,-1/(10.0*0.461),b1_gradient,0
QUAD:LTUH:440,BDES,kG,CQ31,-1/(10.0*0.108),b1_gradient,0
QUAD:LTUH:460,BDES,kG,CQ32,-1/(10.0*0.108),b1_gradient,0
QUAD:LTUH:485,BDES,kG,QT31,-1/(10.0*0.461),b1_gradient,0
QUAD:LTUH:495,BDES,kG,QT33,-1/(10.0*0.461),b1_gradient,0
QUAD:LTUH:585,BDES,kG,QT41,-1/(10.0*0.461),b1_gradient,0
